,x_pos_A,y_pos_A,yaw_pos_A,x_pos_B,y_pos_B,yaw_pos_B,x_pos_C,y_pos_C,yaw_pos_C,x_pos_D,y_pos_D,yaw_pos_D,timesteps
0,2.2000116947195263,0.0999990223647379,3.3358393988641564e-06,1.699999510862448,-0.7000007773865572,1.7030060487417856e-07,1.2001150141906234,0.10000029962752525,6.9315143651317856e-06,0.7001144588462057,-0.6999998990013842,6.171614186729493e-06,0
1,2.2001817706787254,0.09999882587746425,3.242157478014602e-06,1.7001226869223367,-0.7000004323833906,3.1426627345057987e-06,1.2004127359865493,0.09999610934107904,-1.1716039429050436e-05,0.7005113297820771,-0.7000135107218527,-7.525374703215138e-05,1
2,2.2006637703836645,0.100011260139267,7.433553775312008e-05,1.7004507091752354,-0.6999696594430527,0.00016624424506934895,1.2008143022553923,0.09999388827714795,-1.697867154124655e-05,0.7012010226707225,-0.7001759381109218,-0.0006453968268545466,2
3,2.2014851610281556,0.10002097385116689,0.00010640137146294683,1.700882710423304,-0.6999626818279945,0.00018671995812538183,1.2012449354607448,0.09998119005326128,-6.813451328450935e-05,0.7020657137546843,-0.7002883386814466,-0.0017405478071030908,3
4,2.2022989207410255,0.10002652276723063,0.00014310772969252375,1.7013755035224667,-0.699950463139247,0.0002525602962775391,1.2016763920312776,0.09996807037932076,-0.00013013967492591993,0.7029267060666634,-0.7004758380780459,-0.0023614689355980997,4
5,2.20320807187626,0.10003365241642141,0.00016039010786263614,1.7021298855917983,-0.699953450576082,0.00023827214619972576,1.2022545917745056,0.09997743294943505,-7.261556354586139e-05,0.7041659133027364,-0.7007854356860017,-0.0038712871929034113,5
6,2.2044469754188385,0.10010978655143911,0.0005784443844982278,1.7030600311698345,-0.6998687689115188,0.00039478041012580334,1.2030367671580402,0.09996542231274337,-2.0794935492602773e-05,0.7055377163225907,-0.7010286628769443,-0.0050450944998039855,6
7,2.2060415956395683,0.10015836438715181,0.0013638731554410579,1.704303469604121,-0.6999724354654222,0.0005958450512691483,1.2039885184446062,0.10004118278737929,0.00014443567095234985,0.7070577063359368,-0.7010938696676402,-0.005347448089452419,7
8,2.207813639967405,0.10034250079516567,0.003050585970576217,1.7058331917643816,-0.6998969329024841,0.00047985723607075754,1.204953928598787,0.10003753065651874,0.000270357141454578,0.7086079787431762,-0.7011206805537813,-0.005669493140854787,8
9,2.2099960275338666,0.10060916631035069,0.00418060013383797,1.7077093527375038,-0.6999739593952843,9.7011705854748e-05,1.2060944021118756,0.09999893942569764,-1.5075083668351864e-06,0.7104294852484017,-0.7012813343206705,-0.006146177593903695,9
10,2.21221350462633,0.10082870844993161,0.005441857797577007,1.7097975956744187,-0.699967067607273,0.00016461750098254878,1.2072761076836531,0.09999466545239669,3.407782024858112e-06,0.7124286930832521,-0.701494080254949,-0.007206181630349406,10
11,2.2144386696988207,0.10104737345855852,0.006578760222535258,1.7122267995717606,-0.700040427183308,-7.253659544079194e-05,1.208564063131097,0.09997187989521333,-0.0001403662959372094,0.7147484166774373,-0.7016746960291265,-0.008371635011253405,11
12,2.217234006431765,0.10116784640552297,0.007150507150841842,1.7147911464279886,-0.6999870351128141,-0.0002047219108284515,1.2099692784067204,0.09994583377460084,-0.0003943173069895812,0.7171449162594363,-0.7020988653106183,-0.01000826359252151,12
13,2.2201672558955794,0.10131080827973783,0.007635740115159607,1.7174820369959065,-0.7000223431398704,1.652250307205359e-05,1.2116116054186568,0.09988022626434245,-0.0005678877236333921,0.7196604563367627,-0.7024745835680605,-0.01160008674679379,13
14,2.2232148834783185,0.1015670104151385,0.008723658577813471,1.7205554263275267,-0.6999598134756413,6.15248719222675e-05,1.2133601651446382,0.09973255253348673,-0.0012303879201344824,0.7222192373171328,-0.7027997411264761,-0.013477349647298692,14
15,2.2266559760299636,0.10177923846034091,0.011148460801151387,1.7238407129572377,-0.7000270544405602,-0.0003088283305708072,1.2153119512542059,0.0996856391505806,-0.0015796380152203388,0.7252244353764631,-0.7034245294530695,-0.015774106259406208,15
16,2.230215475265084,0.10210495877830957,0.012598414410533573,1.7273228665119136,-0.7000616794256628,-0.0004568539412974056,1.21753151485343,0.09961194161478332,-0.0019066320262772364,0.7286841233355643,-0.7039732053068757,-0.018088547865370147,16
17,2.2337365369710014,0.1024471398664101,0.014031189344682733,1.731174154008303,-0.7001443605926407,-0.0008715288679085688,1.2198772301095548,0.0994999432496305,-0.0019321987718716716,0.7321514203948947,-0.70443290551952,-0.020511950259501487,17
18,2.2378791749925684,0.10325188192317869,0.016870112363144216,1.7351209727378376,-0.7001080343705323,-0.0007017365248361045,1.2225444794140203,0.09955541905896581,-0.0018808742179018912,0.7360035491919796,-0.705135306228111,-0.02310315639103826,18
19,2.242080592796453,0.10382364085635107,0.01958823041890657,1.7394030682046884,-0.7003131470321444,-0.0006976300257764436,1.2253920022653773,0.09955924278562787,-0.002091376897456248,0.7401305533633071,-0.7057551825587598,-0.025525960135612657,19
20,2.2464918631022788,0.10455291337977381,0.023097097868525537,1.7437735302854998,-0.7003033113301954,-0.00029291445128661395,1.2284654270946354,0.09935485905509639,-0.002861269159604043,0.7444049947291378,-0.7064159674345221,-0.027997306469332097,20
21,2.2509045459810775,0.10517344290620073,0.02557884788111746,1.7483539412160742,-0.7004768759591891,-0.0008813231803838087,1.231707314117515,0.09931812814490429,-0.002846998523160123,0.7488453389995143,-0.707084457806727,-0.03095472144430566,21
